record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
2279,7692.0,7061.0,375.0,6225.0,6985.0,5064.0,382.0,924.0,4142.0,725.0,4402.0,4232.0,3354.0,3579.0,3083.0,2970.0,2797.0,1251.0,2383.0,965.0,3429.55
2496,7218.0,7080.0,6782.0,6093.0,6937.0,4980.0,4778.0,3825.0,3922.0,3969.0,4360.0,4099.0,3252.0,3411.0,2987.0,2897.0,2645.0,2439.0,2224.0,978.0,4243.8
2545,7494.0,4029.0,7177.0,6350.0,6889.0,5302.0,2459.0,4129.0,4071.0,4252.0,4529.0,4341.0,3487.0,1838.0,923.0,2986.0,2714.0,2532.0,2412.0,1032.0,3947.3
2624,7533.0,6830.0,6766.0,6360.0,6755.0,4840.0,4948.0,3940.0,4010.0,4071.0,4341.0,4115.0,3287.0,3477.0,2980.0,2972.0,2684.0,2487.0,2278.0,1017.0,4284.55
2740,7966.0,7290.0,7113.0,3309.0,7140.0,5140.0,5055.0,3743.0,4180.0,3908.0,4196.0,4256.0,3385.0,3613.0,3137.0,2985.0,2832.0,2621.0,2439.0,960.0,4263.4
2803,209.0,8424.0,5969.0,7189.0,7641.0,5842.0,5503.0,4380.0,4699.0,4559.0,4049.0,4710.0,3804.0,3920.0,3308.0,3306.0,2965.0,2708.0,2478.0,1120.0,4339.15
3076,7723.0,7229.0,6958.0,6481.0,7110.0,5023.0,5014.0,4016.0,4078.0,4122.0,4441.0,4266.0,3335.0,3557.0,3098.0,3053.0,2750.0,2492.0,2313.0,990.0,4402.45
3314,3894.0,7182.0,7069.0,2061.0,7011.0,3128.0,3785.0,3987.0,4053.0,4099.0,4408.0,4247.0,3356.0,3594.0,3110.0,3061.0,2711.0,2562.0,2378.0,1057.0,3837.65
3442,5982.0,1323.0,2497.0,4876.0,700.0,2317.0,963.0,4697.0,2043.0,4679.0,4946.0,4729.0,3974.0,4082.0,3689.0,3737.0,3372.0,3043.0,2680.0,1536.0,3293.25
3608,6991.0,6605.0,6870.0,6159.0,6569.0,4799.0,4688.0,3678.0,3771.0,3808.0,4137.0,3933.0,3072.0,3327.0,2780.0,2730.0,2528.0,2383.0,2167.0,945.0,4097.0
3680,7343.0,6895.0,6905.0,6355.0,6967.0,4964.0,4939.0,3971.0,2005.0,4088.0,4385.0,4177.0,3323.0,2836.0,3036.0,3038.0,2168.0,2266.0,1428.0,1016.0,4105.25
3769,6891.0,6439.0,6514.0,5782.0,6692.0,4587.0,4698.0,3803.0,3845.0,3999.0,4228.0,4128.0,3207.0,3485.0,2860.0,3008.0,2696.0,2504.0,2265.0,999.0,4131.5
3842,7447.0,6957.0,6699.0,218.0,413.0,4887.0,4848.0,3846.0,3998.0,3945.0,4326.0,4094.0,3230.0,3452.0,2979.0,2917.0,2670.0,2448.0,2229.0,991.0,3629.7
4154,1066.0,7111.0,6838.0,4000.0,7033.0,4974.0,4911.0,3905.0,3979.0,4024.0,4382.0,4172.0,3316.0,3525.0,3029.0,3040.0,2742.0,2518.0,2269.0,1026.0,3893.0
4201,8080.0,7385.0,7161.0,6589.0,7220.0,498.0,5121.0,4053.0,4206.0,4170.0,4498.0,4329.0,3426.0,3686.0,3218.0,3127.0,2861.0,2616.0,2434.0,1055.0,4286.65
