record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4697,4301.0,948.0,3308.0,4549.0,288.0,1900.0,3677.0,3804.0,4495.0,2612.0,2885.0,3693.0,1320.0,476.0,3408.0,2672.0,1364.0,497.0,195.0,73.0,2323.25
4710,2866.0,2361.0,1016.0,1167.0,1355.0,4653.0,77.0,3487.0,2693.0,4325.0,2164.0,2721.0,4320.0,2676.0,3525.0,3394.0,1556.0,743.0,202.0,61.0,2268.1
4725,3387.0,4454.0,3110.0,4933.0,1098.0,158.0,2492.0,3885.0,442.0,843.0,2555.0,447.0,1739.0,587.0,2623.0,529.0,711.0,259.0,131.0,60.0,1722.15
4736,63.0,809.0,3164.0,3287.0,3140.0,2396.0,290.0,1990.0,1769.0,1803.0,1120.0,215.0,4590.0,3882.0,362.0,901.0,629.0,2555.0,353.0,102.0,1671.0
4739,1251.0,1205.0,2952.0,3864.0,1673.0,809.0,2809.0,1921.0,1085.0,2664.0,2450.0,955.0,490.0,135.0,112.0,89.0,64.0,41.0,36.0,29.0,1231.7
4740,3524.0,4104.0,4232.0,2264.0,4647.0,4683.0,2199.0,2740.0,3080.0,3379.0,3803.0,189.0,4685.0,540.0,1153.0,2074.0,4480.0,3440.0,785.0,87.0,2804.4
4743,2355.0,4419.0,1597.0,3165.0,1222.0,1927.0,4632.0,3691.0,4494.0,4199.0,3159.0,3548.0,2522.0,846.0,4669.0,2399.0,2931.0,1543.0,2725.0,167.0,2810.5
4750,608.0,3075.0,4098.0,2001.0,4434.0,1481.0,1692.0,2432.0,402.0,100.0,2221.0,3246.0,4946.0,1745.0,902.0,947.0,3730.0,943.0,2091.0,165.0,2062.95
4788,4204.0,3511.0,3085.0,4910.0,4576.0,2355.0,991.0,3858.0,5072.0,1470.0,299.0,4988.0,4243.0,4560.0,2563.0,236.0,2854.0,2907.0,855.0,107.0,2882.2
4793,609.0,2097.0,4116.0,5165.0,5013.0,181.0,73.0,3459.0,1471.0,4514.0,5100.0,4998.0,763.0,730.0,1741.0,502.0,1737.0,782.0,264.0,81.0,2169.8
4800,374.0,185.0,1230.0,4409.0,99.0,3517.0,1827.0,5067.0,5097.0,448.0,3120.0,1831.0,739.0,1275.0,594.0,3352.0,2007.0,2300.0,1115.0,114.0,1935.0
4801,3595.0,4182.0,195.0,3760.0,985.0,3667.0,3836.0,5064.0,3752.0,1442.0,517.0,696.0,4676.0,1323.0,3675.0,3610.0,1563.0,3208.0,1311.0,272.0,2566.45
4806,2068.0,2477.0,5128.0,4876.0,2041.0,1124.0,3383.0,1771.0,5142.0,437.0,877.0,5154.0,2740.0,1557.0,850.0,4789.0,3531.0,4133.0,3138.0,164.0,2769.0
4834,2360.0,3489.0,3790.0,4.0,1968.0,251.0,442.0,1717.0,2676.0,2283.0,3496.0,5174.0,442.0,4218.0,2742.0,3745.0,2598.0,905.0,3499.0,150.0,2297.45
4836,2973.0,752.0,5131.0,481.0,2207.0,4040.0,5113.0,265.0,959.0,522.0,4335.0,1978.0,489.0,908.0,2454.0,2340.0,1866.0,428.0,137.0,66.0,1872.2
4837,2141.0,3632.0,5105.0,1143.0,455.0,4582.0,477.0,1579.0,2890.0,472.0,1905.0,3205.0,2853.0,4455.0,3450.0,3838.0,4660.0,4259.0,668.0,236.0,2600.25
